"age		",urban,rural
"18	",3819,2885
"19	",3908,2873
"20	",3722,2728
"21	",3771,2756
"22	",4354,2551
"23	",4598,2726
"24	",4855,2992
"25	",5145,3006
"26	",5502,3233
"27	",5519,3172
"28	",5262,3404
"29	",5504,3461
"30	",5765,3748
"31	",5592,3698
"32	",5944,3869
"33	",6065,3860
"34	",6561,4553
"35	",6983,4853
"36	",7150,4839
"37	",6601,4723
"38	",6761,4721
"39	",6552,4447
"40	",6240,4360
"41	",5652,4093
"42	",5804,4149
"43	",6052,4548
"44	",6264,4612
"45	",6038,4563
"46	",5885,4624
"47	",6124,4545
"48	",5873,4485
"49	",5759,4360
"50	",5911,4498
"51	",5241,4040
"52	",5194,4095
"53	",5234,4014
"54	",5677,4306
"55	",6194,4451
"56	",6722,4649
"57	",6559,4254
"58	",3981,2789
"59	",4199,2655
"60	",4233,2669
"61	",4324,2733
"62	",4286,2672
"63	",4451,2765
"64	",4688,2808
"65	",4947,2996
"66	",5194,3014
"67	",5549,3143
"68	",5444,3151
"69	",5828,3206
"70	",5116,2882
"71	",4768,2719
"72	",4719,2798
"73	",4268,2599
"74	",4142,2726
